name_customer,cust_number,invoice_id,total_open_amount,due_in_date,clear_date,Notes
KRAFT  associates,CCCA02,1930712357,8019.84,02-05-2020,09-05-2020,abhinav
SO corp,140104440,2960621020,107400.9,24-03-2020,29-03-2020,abhinav
WAL-MAR trust,200769623,1930817871,22224.38,08-05-2020,04-05-2020,abhinav
WAL-MAR corporation,200769623,1930724736,8127.49,16-04-2020,16-04-2020,abhinav
SYSCO F systems,200763814,1930821456,4114.37,08-05-2020,30-04-2020,abhinav
SA us,200759878,1930754402,34649.91,24-04-2020,24-04-2020,abhinav
SUPE foundation,200793568,1930645875,113514.52,29-03-2020,30-03-2020,abhinav
MONOGR us,100033394,1930636514,44800.88,13-05-2020,13-05-2020,abhinav
BJ'S  us,200726979,1930638427,573.88,27-03-2020,25-03-2020,abhinav
SO corp,140104440,2960622145,17325.45,29-03-2020,16-04-2020,abhinav
STATER  llc,200743996,1930739507,36783.64,19-04-2020,10-05-2020,abhinav
WAL-MAR associates,200769623,1930802899,61894.22,07-05-2020,05-05-2020,abhinav
WAL-MAR ,200769623,1930884615,22577.6,24-05-2020,24-05-2020,abhinav
UNIFIE corporation,200792293,1930729425,57806.54,16-04-2020,16-04-2020,abhinav
US  corporation,200571849,1930621301,39598.84,29-03-2020,25-03-2020,abhinav
WAL-MAR trust,200769623,1930672010,22824.06,04-04-2020,08-04-2020,abhinav
TARG us,200744019,1930756821,119584,22-04-2020,22-04-2020,abhinav
ASSOCIAT in,200772670,1930808778,8455.28,06-05-2020,10-05-2020,abhinav
BJ'S  trust,200726979,1930809222,157.8,06-05-2020,09-05-2020,abhinav
ASSOCIAT corp,200772670,1930832547,12736.89,13-05-2020,22-05-2020,abhinav
KROGE systems,200776463,1930661282,75731.98,01-04-2020,02-04-2020,abhinav
MEIJ trust,200780383,1930693640,28816.31,08-04-2020,05-04-2020,abhinav
WAKE corporation,200704858,1930663830,22590.6,03-04-2020,29-03-2020,abhinav
WAL-MAR systems,200769623,1930726783,32990.03,18-04-2020,17-04-2020,abhinav
WAL-MAR trust,200769623,1930643966,41918,28-03-2020,29-03-2020,abhinav
SHAM us,200457993,1930605473,15372.53,25-03-2020,25-03-2020,abhinav
